Unnamed: 0,path,age,gender,accents,sentence,size,language
32747,common_voice_eu_21689570.mp3,teens,female,"Erdialdekoa edo Nafarra (Gipuzkoa, Nafarroa)",Ordutik aurrera Asiako Futbol Kopan aritzen da.,29613,Basque
65776,common_voice_eu_39107287.mp3,teens,female,,"Halaber, gazteek ihes egiteko arriskurik ez zegoela berretsi du.",39573,Basque
115787,common_voice_eu_39423268.mp3,teens,female,"Mendebalekoa (Araka, Bizkaia, Gipuzkoako mendebaleko herri batzuk)",Gaurko hauteskundeen emaitzen ondorioak europar guztientzat izan litezke.,40102,Basque
32937,common_voice_eu_21701783.mp3,teens,female,"Erdialdekoa edo Nafarra (Gipuzkoa, Nafarroa)",Garai honen amaiera Bigarren Mundu Gerrak markatu zuen.,33453,Basque
7190,common_voice_eu_38768171.mp3,teens,female,"Mendebalekoa (Araka, Bizkaia, Gipuzkoako mendebaleko herri batzuk)",Adostasun batera heltzeko intentzioa dugu bi aldeek eta ea aurrera jarraitzen duen.,38061,Basque
33182,common_voice_eu_21735733.mp3,teens,female,"Erdialdekoa edo Nafarra (Gipuzkoa, Nafarroa)",Mauretania probintzian jaio zen lehen erromatar enperadorea izan zen.,43053,Basque
32690,common_voice_eu_21689443.mp3,teens,female,"Erdialdekoa edo Nafarra (Gipuzkoa, Nafarroa)","Gizonezkoen distantzia bera osatu zuten, hiru itsas milia.",37677,Basque
3548,common_voice_eu_21653543.mp3,teens,female,,"Beste biak, merkatu-hurbilketa eta sarreren hurbilketa dira.",36717,Basque
33260,common_voice_eu_21746260.mp3,teens,female,"Erdialdekoa edo Nafarra (Gipuzkoa, Nafarroa)",Zenbait urtetan tunel horren sabaia behera etortzen da.,37293,Basque
32736,common_voice_eu_21689552.mp3,teens,female,"Erdialdekoa edo Nafarra (Gipuzkoa, Nafarroa)","Gainera, Finlandiako leku gutxitan hazten diren landareak daude.",37677,Basque
33209,common_voice_eu_21745898.mp3,teens,female,"Erdialdekoa edo Nafarra (Gipuzkoa, Nafarroa)",Bere alabari azaltzen dizkio dituen amesgaiztoak.,30573,Basque
3572,common_voice_eu_21653705.mp3,teens,female,,"Erretzean nahastu egin behar dira aldiro, alde guztietatik egiteko.",40557,Basque
32996,common_voice_eu_21733960.mp3,teens,female,"Erdialdekoa edo Nafarra (Gipuzkoa, Nafarroa)",Britainia Handia osoan hobekien gorde den anfiteatroa dago bertan.,38253,Basque
70875,common_voice_eu_39176905.mp3,teens,female,,Ziurtagiri hori lortzea ezinbestekoa da posta bidezko botoa eman ahal izateko.,43126,Basque
